Artist,Avg Tickets,Gross Sales,Territory,Agency,Location
Slightly Stoopid,"4,289","$154,283",North America,WME,
Slim,,,Worldwide,WME,
Slim Cessna's Auto Club,81,"$1,524",Worldwide,Leafy Green Booking,
Slipknot,"11,932","$765,237",Worldwide,Creative Artists Agency (Music),Los Angeles
Sloan,232,"$4,710",United States,Paradigm - NYC,
Sloan Peterson,,,"Australia, Asia",WME,
Sloan Peterson,,,"Pacific Rim, Asia",WME,
Slobberbone,,,North America,Hello! Booking,
Slooze,,,North America,United Talent Agency - Beverly Hills,
Slooze,,,North America,UTA,
Sloppy Seconds,431,"$6,583",North America,Covert Booking,
Slough Feg,,,"Central America, Australia, North America, South America",Tone Deaf Touring,
Slow Dancer,,,United States,High Road Touring,
Slow Pulp,318,"$3,290",Worldwide ex. UK/Europe,APA,
Slow Season,75,$706,North America,Tone Deaf Touring,
Slow Southern Steel,,,Worldwide,Tone Deaf Touring,
Slowdive,,,North America,High Road Touring,
Slowthai,,,North America,Paradigm - Nashville,
SLUGGO,,,,Prysm Talent Agency,
Slum Village X Abstract Orchestra,,,Worldwide ex. North America,UTA,
Slumberjack,,,North America,Mint Talent Group,
Slushii,"1,712","$53,870",North America,Paradigm - Beverly Hills,
SLY5THAVE,,,Worldwide ex. North America,UTA,
Small Black,,,"Australia, North America, South America, Japan, Asia",Paradigm - NYC,
Small Black ,,,,TBA Agency,
Small Island Big Song,,,North America,SRO Artists,
Small Town Murder,685,"$22,847",Worldwide,UTA - Comedy,
Small Town Titans,147,"$1,550",United States,TKO,
Smallpools,455,"$8,942",Worldwide,United Talent Agency - Beverly Hills,
Smallpools,455,"$8,942",Worldwide,UTA,
Smartbomb,,,North America,Back Bay Booking,
Smash Into Pieces,,,United States,Dynamic Talent International,
Smash Mouth,,,North America,Northstar Artists,
Smash Mouth,,,North America,Northstar Artists,
Smiler,,,Worldwide,UTA,
Smiles Davis,,,Worldwide,ICM Partners,
Smino,"1,075","$25,373",Worldwide,Creative Artists Agency (Music),Los Angeles
Smith & Myers,"2,312","$111,981",North America,WME,
Smith & Thell,,,North America,ICM Partners,
Smithfield,,,North America,WME,
Smle,,,Worldwide,United Talent Agency - Beverly Hills,
Smle,,,Worldwide,UTA,
SMLE,,,,Corson Agency,
Smokey Brights,,,North America,Nine Mile Touring,
Smokey Robinson,"3,023","$230,303",Worldwide,APA,
Smokey Robotic,,,North America,Red Entertainment Agency,
Smooky MarGielaa,485,"$8,961",North America,CLG - Cara Lewis Group,
Smooth Hound Smith,91,"$1,147",North America,Madison House,
Smoothboi Ezra ,,,,TBA Agency,
Smosh,,,North America,United Talent Agency - Beverly Hills,
Smosh,,,North America,UTA,
Smrtdeath,,,Worldwide ex. UK/Europe,APA,
SMTOWN Live,,,Europe,WME,
Snafu,,,North America,Tone Deaf Touring,
Snail Mail,925,"$16,870",North America,Ground Control Touring,
Snails,"1,169","$35,800",Worldwide,United Talent Agency - Beverly Hills,
Snails,"1,169","$35,800",Worldwide,UTA,
Snakehips,863,"$22,170","Canada, Mexico, South America, United States",Paradigm - NYC,
Snakehips,863,"$22,170","United States, Mexico, Canada, South America",Paradigm - Beverly Hills,
Snapcase,,,North America,DO IT BOOKING,
Snarky Puppy,"1,443","$59,392","Asia, South America, Australia, Europe",United Talent Agency - Beverly Hills,
Snarky Puppy,"1,443","$59,392","Asia, Europe, Australia",UTA,
Snarky Puppy,"1,443","$59,392","Asia, South America, Australia, Europe",UTA,
SNBRN,800,"$17,904",Worldwide ex. UK/Europe,Creative Artists Agency (Music),Los Angeles
Snoop Dogg,"5,319","$328,208",non-exclusive,United Talent Agency - Beverly Hills,
Snoop Dogg,"5,319","$328,208",non-exclusive,UTA,
Snoop Dogg,"5,915","$366,847",non-exclusive,Universal Attractions Agency,
Snot,,,Worldwide,APA,
Snow,,,non-exclusive,Universal Attractions Agency,
Snow Patrol,"3,947","$240,667",North America,Paradigm - NYC,
Snow Tha Product,756,"$16,063",North America,WME,
So Solid Crew,,,"Asia, Australia",WME,
"So Soon, The Truth",,,United States,Dynamic Talent International,
So You Think You Can Dance,"1,487","$86,935",Worldwide,United Talent Agency - Beverly Hills,
So You Think You Can Dance,"1,487","$86,935",Worldwide,UTA,
SOB X RBE,"1,127","$31,612",North America,ICM Partners,
Sober Rob,128,"$2,011",Worldwide,United Talent Agency - Beverly Hills,
Sober Rob,128,"$2,011",Worldwide,UTA,
Soccer Mommy,383,"$5,867",North America,High Road Touring,
Social Animals,97,"$1,212",North America,Paradigm - NYC,
Social Distortion,"2,404","$103,138",North America,APA,
Social House,,,North America,United Talent Agency - Beverly Hills,
Social House,,,North America,UTA,
Social House,,,Worldwide ex. North America,UTA,
Sodom,,,North America,TKO,
Sodown,333,"$5,789",North America,Paradigm - NYC,
Sodown,333,"$5,789",North America,Paradigm - Nashville,
Sofi Tukker,"1,055","$28,489",North America,Paradigm - Beverly Hills,
Sofia Bolt,,,Worldwide,WME,
Sofia Bolt,,,Worldwide,WME,
Sofia Carson,,,Worldwide,WME,
Sofia Kourtesis ,,,,TBA Agency,
Sofía Rei,,,"United States, Canada",M M Music Agency,
Sofía Valdés ,,,,TBA Agency,
Sofia Wylie,,,North America,United Talent Agency - Beverly Hills,
Sofia Wylie,,,North America,UTA,
Soft Kill,232,"$3,196",North America,Ground Control Touring,
Softest Hard,,,North America,Paradigm - NYC,
Sohn,,,"South America, Japan, North America",Paradigm - Beverly Hills,
SOHN ,,,,TBA Agency,
Soil,,,Worldwide,TKO,
Soilwork,"1,444","$53,111",North America,TKO,
SOJA,"1,009","$30,621","Asia, Australia",WME,
SOJA,"1,009","$30,621",Europe,WME,
SOJA,"1,009","$30,621",Worldwide ex. North America,WME,
SOJA,"1,009","$30,621",North America,Paradigm - NYC,
SOJA,"1,009","$30,621",North America,Paradigm - Beverly Hills,
Sol Ruiz and The Tribu,,,Worldwide,Utopia Artists / Mars Talent Agency (UAMT),
Sol3 Mio,,,United Kingdom,UTA,
Solange,,,Worldwide,WME,
Solar,,,"North America, South America",Liaison Artists,
Solardo,332,"$6,625",North America,Paradigm - Beverly Hills,
Solas,,,North America,Myriad Artists,
Soleima,,,Worldwide ex. North America,UTA,
Solence,,,Worldwide,United Talent Agency - Beverly Hills,
Solence,,,Worldwide,UTA,
Solomon Georgio,,,Worldwide,Gersh,
Solomun,,,North America,Liaison Artists,
Solstafir,,,North America,Tone Deaf Touring,
Solstafir,,,,HEAVY TALENT,
SOLTAN,,,,Corson Agency,
Sombear,,,North America,United Talent Agency - Beverly Hills,
Sombear,,,North America,UTA,
somegirlnamedanna,,,North America,WME,
somegirlnamedanna,,,Worldwide ex. North America,WME,
Sommore,,,non-exclusive,Universal Attractions Agency,
Somnium Sound,,,Worldwide,United Talent Agency - Beverly Hills,
Somnium Sound,,,Worldwide,UTA,
SoMo,515,"$11,749",North America,Paradigm - NYC,
SON LUX,,,,Outer/Most,
Son Volt,608,"$14,610",North America,High Road Touring,
Sonata Arctica,257,"$8,168",North America,First Row Talent,
Sonder,300,"$4,500",Worldwide,Paradigm - NYC,
SONDRE LERCHE,,,,Outer/Most,
Song Exploder,,,North America,Ground Control Touring,
Songhoy Blues,136,"$2,655",North America,High Road Touring,
Sonia,,,Worldwide,WME,
Sonia Denis,,,Worldwide,WME,
Sonic Blume,,,North America,Nimbleslick Entertainment,
Sonic Blume,,,North America,Nimbleslick Entertainment,
Sonic Youth,,,North America,Ground Control Touring,
Sonny Fodera,,,North America,Paradigm - Beverly Hills,
Sonny Landreth,250,"$8,270",North America,Mongrel Music,
Sonny Rollins,,,Worldwide,The Kurland Agency,
Sonreal,253,"$4,477",Worldwide ex. UK/Europe,United Talent Agency - Beverly Hills,
Sonreal,253,"$4,477",Worldwide ex. UK/Europe,UTA,
Sons,752,"$13,480",Worldwide ex. North America,UTA,
Sons Of Kemet,203,"$3,045",Worldwide ex. North America,UTA,
Sons Of Kemet,203,"$3,045","United States, Canada, Mexico",Arrival Artists,
Sons of Raphael,,,North America,Paradigm - NYC,
Sons of Raphael,,,North America,Paradigm - Beverly Hills,
Sons Of Serendip,362,"$6,580",Worldwide,Concerted Efforts,
Sontalk,47,$645,North America,High Road Touring,
Sophia Boro,,,North America,Paradigm - Nashville,
Sophia Messa,,,North America,CLG - Cara Lewis Group,
Sophie And The Giants,57,$681,North America,Paradigm - NYC,
Sophie Beem,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Sophie Buddle,,,Worldwide,ICM Partners,
Sophie Ellis-Bextor,,,Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
Sophie Evans,,,Worldwide,UTA,
Sorcerer,,,,HEAVY TALENT,
Soren Bryce,,,North America,Madison House,
Sorority Noise,375,"$6,500",North America,APA,
Sorrow,,,North America,Madison House,
Sorry,98,"$1,236",North America,Paradigm - NYC,
SORRY ,,,,TBA Agency,
SOSA,,,North America,Paradigm - Beverly Hills,
SOSUPERSAM,,,North America,United Talent Agency - Beverly Hills,
SOSUPERSAM,,,North America,UTA,
SOSUPERSAM,,,Worldwide ex. North America,UTA,
Souad Massi,570,"$12,837",North America,Riot Artists,
Soul Appeal Feat. Michael Lington & Kenny Lattimore,,,North America,APA,
Soul Asylum,860,"$25,192",Worldwide,TKO,
Soule Monde,75,"$1,381",Worldwide,Crossover Touring,
Soulection,702,"$13,113",North America,Paradigm - Nashville,
Soulfly,406,"$8,749",North America,33 & West,
Soulja Boy,,,North America,Paradigm - NYC,
Soulside,,,North America,Concerted Efforts,
Soulwax,"4,958","$192,933","Australia, Asia",WME,
Soulwax,"4,958","$192,933",Europe,WME,
Soulwax,"4,958","$192,933",North America,WME,
Souly Had,,,Worldwide,ICM Partners,
Sound Of Ceres,46,$556,North America,Inland Empire Touring,
SOUND RUSH,,,,Corson Agency,
Sounds of Blackness,818,"$39,069",non-exclusive,Red Entertainment Agency,
Sounds Of The Supremes,"2,711","$261,216",non-exclusive,Universal Attractions Agency,
South Hill Banks,,,North America,SEG - Sweetwine Ent'ment Group,
Southern Avenue,196,"$2,501",United States,Madison House,
Southern Avenue,212,"$2,681",Worldwide ex. North America,UTA,
Southern Thunder,,,North America,Skyline Artists Agency,
Southside Johnny & The Asbury Jukes,769,"$38,263",North America,ICM Partners,
Space & Harmony,,,North America,Mint Talent Group,
Space Jesus,889,"$19,477",Worldwide,United Talent Agency - Beverly Hills,
Space Jesus,889,"$19,477",Worldwide,UTA,
Space Laces,432,"$7,790",North America,United Talent Agency - Beverly Hills,
Space Laces,432,"$7,790",North America,UTA,
SpaceAcre,,,Worldwide,UTA,
Spacey Jane,,,North America,ICM Partners,
Spag Heddy,273,"$4,555",Worldwide,United Talent Agency - Beverly Hills,
Spag Heddy,273,"$4,555",Worldwide,UTA,
Spain,,,North America,Concerted Efforts,
Spandau Ballet,,,North America,Creative Artists Agency (Music),Los Angeles
Spanish Harlem Orchestra,,,Worldwide,Epstein & Company,
Spanish Love Songs,201,"$2,057",North America,Sound Talent Group,
Sparkle City,,,North America,"The Progressive Global Agency, Inc",
Sparks,"1,432","$64,440","Japan, Asia, South America, North America",Paradigm - Berkley,
Sparta,207,"$3,327",North America,APA,
Speak The Truth,,,Worldwide ex. UK/Europe,APA,
Spear Of Destiny,242,"$5,492",North America,Rocky Road Touring,
Special Ed,,,non-exclusive,Universal Attractions Agency,
Special Ed & The Musically Challenged,,,non-exclusive,Universal Attractions Agency,
Special Request feat. Rey T.,,,"South America, Central America, Mexico",Surefire Agency,
Spector,300,"$3,689",North America,High Road Touring,
Spectral Voice,,,,HEAVY TALENT,
Speedy Ortiz,414,"$6,398",North America,Ground Control Touring,
Speelburg,,,Worldwide,ICM Partners,
Spellling,,,North America,Panache Booking,
Spencer Barnett,,,Worldwide ex. North America,ICM Partners,
Spencer Crandall,,,Worldwide,WME,
Spencer Sutherland,247,"$2,841",Worldwide,United Talent Agency - Beverly Hills,
Spencer Sutherland,247,"$2,841",Worldwide,UTA,
Spendtime Palace,102,"$1,380",Worldwide ex. UK/Europe,APA,
Spice Girls,"86,958","$9,750,672",Worldwide,Creative Artists Agency (Music),Los Angeles
Spider Bags,,,North America,Ground Control Touring,
Spiders,85,"$1,713",North America,Tone Deaf Touring,
Spill Tab ,,,,TBA Agency,
Spillage Village,,,Worldwide,ICM Partners,
Spin Doctors,641,"$13,936",North America,Northstar Artists,
Spin Doctors,641,"$13,936",North America,Northstar Artists,
Spinderella,,,non-exclusive,Universal Attractions Agency,
Spineshank,,,"United Kingdom, Europe",TKO,
Spinn,163,"$1,710","Europe, United Kingdom",UTA,
Spinn,,,"Europe, United Kingdom",UTA,
Spiral Stairs,38,$450,North America,Nine Mile Touring,
Spirit Adrift,35,$434,North America,Ground Control Touring,
Spirit Of The Beehive,,,Worldwide ex. UK/Europe,Ground Control Touring,
Spirit Possession,,,,HEAVY TALENT,
Spiritual Rez,,,United States,APA,
Spiritualized,993,"$43,578",North America,Paradigm - Beverly Hills,
Spite,,,Worldwide ex. North America,33 & West,
Spock,185,"$2,100",Worldwide,United Talent Agency - Beverly Hills,
Spock,185,"$2,100",Worldwide,UTA,
Spookyland,,,Europe,WME,
Spoon,"1,877","$73,961","Australia, Asia",WME,
Spoon,"1,877","$73,961",North America,WME,
Spor,,,"Australia, Asia",WME,
Spor,,,Europe,WME,
Spor,,,North America,WME,
Sports Team,,,North America,WME,
Spring Heeled Jack USA,,,North America,Covert Booking,
Spyro Gyra,403,"$20,769",North America,ICM Partners,
Squeeze,"1,759","$95,181",North America,United Talent Agency - Beverly Hills,
Squeeze,"1,759","$95,181",North America,UTA,
Squeeze,"1,759","$95,181",Worldwide,UTA,
Squid,,,North America,Paradigm - NYC,
Squirrel Flower,17,$295,North America,High Road Touring,
Squirrel Nut Zippers,429,"$15,983",Worldwide,Concerted Efforts,
Squnto,488,"$11,319",Worldwide,United Talent Agency - Beverly Hills,
Squnto,488,"$11,319",Worldwide,UTA,
SRSQ,181,"$3,556",North America,United Talent Agency - Beverly Hills,
SRSQ,181,"$3,556",North America,UTA,
Sry,,,United States,Dynamic Talent International,
St. Germain,,,North America,Paradigm - Beverly Hills,
St. Lucia,"1,406","$47,436","Asia, Australia",WME,
St. Lucia,"1,406","$47,436",Worldwide,WME,
St. Lundi,,,Worldwide ex. North America,UTA,
St. Paul And The Broken Bones,"1,487","$55,252",Worldwide ex. UK/Europe,High Road Touring,
St. Vincent,"2,464","$97,354","Australia, Asia",WME,
St. Vincent,"2,464","$97,354",Worldwide ex. UK/Europe,WME,
Stabbing Westward,,,North America,Artist Group International,
Stafford Brothers,,,North America,United Talent Agency - Beverly Hills,
Stafford Brothers,,,North America,UTA,
Staind,,,North America,United Talent Agency - Beverly Hills,
Staind,,,North America,UTA,
Staind,,,Worldwide ex. North America,UTA,
Stalking Gia,,,North America,United Talent Agency - Beverly Hills,
Stalking Gia,,,North America,UTA,
Stan Genius,,,Worldwide,ICM Partners,
Stand Atlantic,193,"$2,708",North America,Sound Talent Group,
Stanley Clarke,326,"$17,243",North America,Head Booking,
Stanley Jordan,162,"$5,087",North America,APA,
Stanley Jordan Plays Jimi,,,Worldwide,Ketch Agency,
Stanton Moore,402,"$10,140",Worldwide,Partisan Arts,
Star Parks,,,North America,Nine Mile Touring,
Starbenders,114,"$2,242",North America,United Talent Agency - Beverly Hills,
Starbenders,114,"$2,242",North America,UTA,
Starcrawler,137,"$1,904",North America,Paradigm - NYC,
Starcrawler ,,,,TBA Agency,
Stargate,,,North America,WME,
Starley,,,"New Zealand, New Zealand",WME,
Stars,372,"$8,244",United States,Paradigm - Berkley,
Stars,372,"$8,244",North America,Paradigm - Toronto,
Stars & Stripes,,,North America,Crawlspace Booking,
Stars From The Illusionists,,,North America,WME,
Starsailor,"1,092","$32,712",North America,ICM Partners,
Starset,912,"$21,839",North America,Artist Group International,
Starship Feat. Mickey Thomas,817,"$38,373",Worldwide,APA,
StarTalk Live!,"2,480","$93,667",North America,Inland Empire Touring,
STARX,,,,Corson Agency,
Stas Thee Boss,,,North America,Inland Empire Touring,
Stassi Schroeder,,,North America,United Talent Agency - Beverly Hills,
Stassi Schroeder,,,North America,UTA,
State Radio,,,Worldwide,UTA,
Static Dress,,,"South America, North America",Sound Talent Group,
Static Summer,,,North America,TKO,
Staticland,,,North America,TKO,
Statik Selektah,104,"$1,656",Worldwide,United Talent Agency - Beverly Hills,
Statik Selektah,104,"$1,656",Worldwide,UTA,
Statiqbloom,,,,HEAVY TALENT,
Status Quo,"4,565","$317,854",Worldwide,UTA,
Stavros Halkias,,,North America,UTA - Comedy,
Stavroz,,,"North America, South America",Liaison Artists,
Stavroz,,,"South America, North America",Liaison Artists,
Stay Outside,142,"$1,070",North America,Revel Talent Alliance,
StaySolidRocky,,,North America,ICM Partners,
Steel Panther,"1,096","$27,194",Worldwide ex. UK/Europe,United Talent Agency - Beverly Hills,
Steel Panther,"1,096","$27,194",Worldwide,UTA,
Steel Panther,"1,096","$27,194",Worldwide ex. UK/Europe,UTA,
Steel Pulse,965,"$32,840",North America,Mint Talent Group,
Steeleye Span,,,North America,Concerted Efforts,
Steelism,,,North America,WME,
Steep Canyon Rangers,892,"$63,849",United States,New Frontier Touring,
Steep Canyon Rangers,892,"$63,849",United States,New Frontier Touring,
Stef Chura,98,"$1,037",North America,Ground Control Touring,
Stefan James,,,Worldwide,WME,
Steffi,,,North America,Liaison Artists,
Stelartronic,,,Worldwide ex. North America,UTA,
Stella Donnelly,430,"$7,087",North America,Ground Control Touring,
Stella Parton,,,"Worldwide ex. North America, Worldwide ex. North America",UTA,
Stephan Bodzin,,,North America,Liaison Artists,
Stephan Jenkins,,,Worldwide,WME,
STEPHANIE,,,,Corson Agency,
Stephanie Beatriz,,,Worldwide,ICM Partners,
Stephanie J. Block,,,Worldwide,Gersh,
Stephanie Mills,"1,220","$82,457",Worldwide,Universal Attractions Agency,
Stephen Kellogg (Solo),239,"$6,681",North America,Madison House,
Stephen Lynch,641,"$21,788",North America,WME,
Stephen Marley,691,"$23,260",Europe,WME,
Stephen Marley,691,"$23,260",North America,Mint Talent Group,
Stephen Pearcy,,,Worldwide,TKO,
Stephen Sanchez,,,North America,Paradigm - Beverly Hills,
Stephen Stills,"1,335","$84,737",North America,Creative Artists Agency (Music),Los Angeles
Stephen Stills and Judy Collins,,,North America,APA,
Stephie James,,,North America,Fleming Artists,
Stephin Merritt,,,"South America, Mexico, Canada, Australia, New Zealand, United States, Asia",Arrival Artists,
Steps,"7,679","$421,694",Worldwide,UTA,
Stereolab,"1,018","$29,774","Australia, Asia",WME,
Stereolab,"1,018","$29,774",Worldwide ex. North America,WME,
Stereolab,"1,018","$29,774",North America,Paradigm - NYC,
Stereolab,"1,018","$29,774",North America,Paradigm - Beverly Hills,
Stereophonics,"11,918","$698,719",North America,Paradigm - NYC,
Stereophonics,"11,918","$698,719",North America,Paradigm - Toronto,
Stevan,,,Europe,UTA,
Steve,,,Worldwide,WME,
Steve Aoki,"2,036","$89,514",North America,WME,
Steve Byrne,165,"$3,300",North America,APA,
Steve DeAngelo,,,United States,SEG - Sweetwine Ent'ment Group,
Steve Dorff,116,"$2,355",Worldwide,Dynamic Artists Management LLC,
Steve Earle,528,"$26,977",Worldwide,United Talent Agency - Beverly Hills,
Steve Earle,528,"$26,977",Worldwide,UTA,
Steve Forbert,160,"$4,037",North America,Mongrel Music,
Steve Gunn,184,"$3,192",Worldwide,Ground Control Touring,
Steve Hackett,"1,418","$75,400","Japan, South America, North America",Entourage Talent Associates,
Steve Harley & Cockney Rebel,,,Worldwide,UTA,
Steve Harvey,,,Worldwide,WME,
Steve Ignorant,,,Worldwide,Sound Talent Group,
Steve James (DJ),,,Worldwide ex. North America,UTA,
Steve Katz,,,North America,Hello! Booking,
Steve Kimock,"1,331","$80,601",United States,APA,
Steve Lemme,,,North America,Creative Artists Agency (Comedy),Los Angeles
Steve Lemme,,,North America,Creative Artists Agency (Music),Los Angeles
Steve Lemme & Kevin Heffernan,386,"$8,663",North America,Creative Artists Agency (Comedy),Los Angeles
Steve Lemme & Kevin Heffernan,386,"$8,663",North America,Creative Artists Agency (Music),Los Angeles
Steve Lemme & Kevin Heffernan,386,"$8,663",North America,APA,
Steve Lukather,,,North America,WME,
Steve Martin,"3,357","$364,975","Australia, Asia",WME,
Steve Martin,"3,357","$364,975",Europe,WME,
Steve Martin,"3,357","$364,975",North America,WME,
Steve Miller Band,"4,429","$272,706",North America,Paradigm - Monterey,
Steve Miller Band,"4,429","$272,706",North America,Paradigm - Beverly Hills,
Steve Moakler,155,"$2,349",Worldwide,Creative Artists Agency (Music),Los Angeles
Steve Poltz,94,"$2,023",North America,Madison House,
Steve Rannazzisi,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
Steve Rannazzisi,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Steve Simeone,750,"$25,088",Worldwide,Gersh,
Steve Solomon,771,"$27,977",North America,WME,
Steve Spangler,,,North America,WME,
Steve Stevens,,,Worldwide,TKO,
Steve Trevino,217,"$3,520",North America,UTA - Comedy,
Steve Tyrell,360,"$21,572",North America,ICM Partners,
Steve Vai,,,Worldwide,Sound Talent Group,
Steve Winwood,"1,978","$180,747",Worldwide ex. North America,ICM Partners,
Steve Winwood,"2,462","$191,272",North America,Creative Artists Agency (Music),Los Angeles
Steve-O,643,"$26,585",Worldwide,ICM Partners,
Steve-O,643,"$26,585",,ICM Partners,
Steven Adler,,,Worldwide,"BTE, Inc.",
Steven C,,,North America,Hello! Booking,
Steven Curtis Chapman,947,"$34,014",Worldwide,Creative Artists Agency (Music),Los Angeles
Steven Lee Olsen,,,Worldwide,WME,
Steven Moses,,,Worldwide,ICM Partners,
Steven Page,207,"$5,929",United States,APA,
Steven Seagal & Thunderbox,,,North America,Red Entertainment Agency,
Steven Severin,,,North America,Rocky Road Touring,
Steven Spence,,,North America,WME,
Steven Tyler,"3,583","$216,760",Europe,WME,
Steven Tyler,"3,583","$216,760",Worldwide,WME,
Steven Van Zandt,322,"$14,336",North America,APA,
Steven Wilson,"1,656","$81,523",Worldwide ex. North America,UTA,
Steven Wilson,"1,656","$81,523",North America,APA,
Steven Wright,893,"$36,033",Worldwide,UTA - Comedy,
Stevie B,"1,767","$91,914",non-exclusive,Universal Attractions Agency,
Stevie Jackson,,,"North America, South America",Ground Control Touring,
Stevie Nicks,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Stevie Redstone,,,North America,Bonfire Touring,
Stevie Stone,182,"$2,700",United States,Dynamic Talent International,
Stevie Wonder,"9,807","$1,327,615",Worldwide,Creative Artists Agency (Music),Los Angeles
Stewart Copeland: The Police Deranged,,,North America,Paradigm - NYC,
Stick Figure,"3,052","$119,709",North America,Mint Talent Group,
Stick To Your Guns,580,"$11,270",North America,Sound Talent Group,
Stickup Kid,27,$310,United States,Dynamic Talent International,
Sticky Fingers,"2,063","$60,625",Worldwide ex. UK/Europe,United Talent Agency - Beverly Hills,
Sticky Fingers,"2,063","$60,625",Worldwide ex. UK/Europe,UTA,
Sticky Fingers,,,Worldwide ex. UK/Europe,United Talent Agency - Beverly Hills,
Sticky Fingers,,,Worldwide ex. UK/Europe,UTA,
Stiff Little Fingers,"1,316","$40,906",North America,APA,
Still Rebel,12,$128,North America,Artist Group International,
Still Woozy,534,"$8,441","Asia, Europe, Australia",WME,
Still Woozy,534,"$8,441",North America,Paradigm - Berkley,
Stimming,,,North America,Liaison Artists,
Sting,"6,310","$528,703",Worldwide,Creative Artists Agency (Music),Los Angeles
Stinking Lizaveta,,,Worldwide,Tone Deaf Touring,
Stockholm Syndrome,,,Worldwide,"The Progressive Global Agency, Inc",
Stokley Williams,,,non-exclusive,Pyramid Entertainment Group,
Stokley Williams,,,non-exclusive,Universal Attractions Agency,
Stone Broken,359,"$7,070",North America,TKO,
Stone Senate,,,North America,The Empire Agency,
Stone Sour,"2,171","$84,437",Worldwide,Creative Artists Agency (Music),Los Angeles
Stone Temple Pilots,"3,130","$122,219",North America,Artist Group International,
Stonebwoy,,,North America,United Talent Agency - Beverly Hills,
Stonebwoy,,,North America,UTA,
Stoned Jesus,,,,HEAVY TALENT,
STONED LEVEL,,,,Prysm Talent Agency,
Stonefield,161,"$1,893",North America,Panache Booking,
Stoney LaRue,967,"$20,720",Worldwide,WME,
Stööki Sound,,,North America,Madison House,
Stoop Kids,,,North America,Atlas Touring,
Stop Light Observations,287,"$5,813",North America,Atlas Touring,
Storme Warren,,,North America,Paradigm - Nashville,
Stormzy,"6,096","$230,634",North America,Paradigm - NYC,
Story Of The Year,978,"$26,051","Latin America, North America",United Talent Agency - Beverly Hills,
Story Of The Year,978,"$26,051","Latin America, North America",UTA,
Story Of The Year,978,"$26,051","United Kingdom, Europe",UTA,
Story Untold,172,"$2,353",Worldwide ex. UK/Europe,Sound Talent Group,
Straight No Chaser,"2,138","$109,422",Worldwide,ICM Partners,
Strand Of Oaks,299,"$6,177",North America,Ground Control Touring,
Strawberry Girls,129,"$1,755",United States,Dynamic Talent International,
Stray From The Path,265,"$5,957",North America,Sound Talent Group,
Street Corner Symphony,139,"$4,530",North America,New Frontier Touring,
Street Corner Symphony,139,"$4,530",North America,New Frontier Touring,
Street Dogs,"1,279","$28,387",North America,Leave Home Booking,
Street Sects,,,,HEAVY TALENT,
Streeter Seidell,,,Worldwide,WME,
Streetlight Manifesto,"1,478","$43,074",North America,Sound Talent Group,
Streetlight Manifesto,"1,651","$51,601",Worldwide ex. North America,UTA,
STRFKR ,,,,TBA Agency,
Strike Anywhere,,,North America,DO IT BOOKING,
Striker,47,$494,North America,TKO,
Striking Matches,105,"$1,938",Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
Striking Matches,105,"$1,938",North America,APA,
Stromae,,,North America,United Talent Agency - Beverly Hills,
Stromae,,,North America,UTA,
Strung Out,269,"$5,165",North America,Leave Home Booking,
Strunz & Farah,,,Worldwide,Dynamic Artists Management LLC,
Stryper,485,"$16,257",Worldwide,"BTE, Inc.",
STS9,"2,914","$140,365",North America,Creative Artists Agency (Music),Los Angeles
Stu Larsen,100,"$1,448",North America,Madison House,
Sturgill Simpson,"4,080","$285,747",North America,Paradigm - Nashville,
Stuyedeyed,43,$419,North America,Overrun Booking,
STWO,"1,425","$41,325","South America, North America",Paradigm - Beverly Hills,
STYLES & COMPLETE,,,,Corson Agency,
Stylust Beats,,,North America,Madison House,
Styx,"3,625","$190,789",,Creative Artists Agency (Music),Nashville
Styx,"3,625","$190,789",Worldwide,Creative Artists Agency (Music),Los Angeles
Suave The Don,,,United States,Dynamic Talent International,
Sub Focus,800,"$21,000",North America,Paradigm - Beverly Hills,
Sub Urban,173,"$2,646",North America,Paradigm - NYC,
Sub Urban,173,"$2,646",North America,Paradigm - Beverly Hills,
SUB ZERO PROJECT,,,,Corson Agency,
Sub-Radio,194,"$3,215",North America,ArcArtists,
Subdocta,361,"$4,813","South America, North America",United Talent Agency - Beverly Hills,
Subdocta,361,"$4,813","South America, North America",UTA,
Sublime With Rome,"2,240","$92,411",Worldwide,United Talent Agency - Beverly Hills,
Sublime With Rome,"2,240","$92,411",Worldwide,UTA,
Sublime With Rome,"2,240","$92,411","Worldwide, Worldwide",UTA,
Submotion Orchestra,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Subtronics,876,"$19,819",Worldwide,United Talent Agency - Beverly Hills,
Subtronics,876,"$19,819",Worldwide,UTA,
Suburban Living,107,"$1,236",North America,Overrun Booking,
Sudan Archives,284,"$4,078","Mexico, Australia, Canada, United States, New Zealand",Arrival Artists,
Sudan Archives ,,,,TBA Agency,
Sueco The Child,,,Worldwide,WME,
Sufferer,,,United States,Dynamic Talent International,
Sufjan Stevens,,,"Africa, Mexico, Canada, Australia, United States, Asia, South America, Middle East, New Zealand",Arrival Artists,
